0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1年,1年,1年,1年,2年,2年,2年,2年,3年,3年,3年,3年,4年,4年,4年,4年,5年,5年,5年,5年,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,担当教員,履修上の区分
一般,必修（留学生）,日本語IB  日本語IB,g0900,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,"田嶋 彩香,小高 愛",
専門,必修,工業力学  工業力学,d0100,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,岡本 峰基,
専門,必修,機械力学  機械力学,d0110,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,岡本 峰基,
専門,必修,電磁気学II  電磁気学II,d0180,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,泉 源,
専門,必修,電磁気学III  電磁気学III,d0190,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,泉 源,
専門,必修,電気回路II  電気回路II,d0210,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,坂元 周作,
専門,必修,電気回路III  電気回路III,d0220,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,坂元 周作,
専門,必修,電子工学I  電子工学I,d0230,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,"岡本 峰基,鈴木 聡",
専門,必修,電子工学II  電子工学II,d0240,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,"岡本 峰基,鈴木 聡",
専門,必修,計測工学I  計測工学I,d0330,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,大橋 太郎,
専門,必修,計測工学II  計測工学II,d0340,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,大橋 太郎,
専門,必修,実験実習III  実験実習III,d0460,履修単位,2,,,,,,,,,4,4,,,,,,,,,,,"臼井 邦人,岡本 峰基,坂元 周作,沢口 義人,関口 明生,君塚 進",
専門,必修,実験実習IV  実験実習IV,d0470,履修単位,2,,,,,,,,,,,4,4,,,,,,,,,"臼井 邦人,岡本 峰基,坂元 周作,沢口 義人,関口 明生,君塚 進",
専門,必修選択,プロジェクト実習  プロジェクト実習,d0510,履修単位,1,,,,,,,,,1,1,1,1,,,,,,,,,沢口 義人,
一般,必修,国語表現  国語表現,g0060,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,田嶋 彩香,
一般,必修,体育II  体育II,g0330,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,"坂田 洋満,篠村 朋樹,清野 哲也,田川 浩子",
一般,必修選択,英語演習IA  英語演習IA,g0570,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,"岩崎 洋一,小澤 健志",
一般,必修選択,英会話IA  英会話IA,g0580,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,"瀨川 直美,GRANT James,平元 嗣音,小川 祐輔",
一般,必修選択,英語演習IB  英語演習IB,g0590,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,"岩崎 洋一,小澤 健志",
一般,必修選択,英会話IB  英会話IB,g0600,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,"瀨川 直美,GRANT James,平元 嗣音,小川 祐輔",
一般,必修選択,哲学A  哲学A,g0630,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,小谷 俊博,
一般,必修選択,経済学A  経済学A,g0640,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,武長 玄次郎,
一般,必修選択,社会学A  社会学A,g0650,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,"小谷 俊博,杉谷 武信",
一般,必修選択,哲学B  哲学B,g0660,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,小谷 俊博,
一般,必修選択,経済学B  経済学B,g0670,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,武長 玄次郎,
一般,必修選択,社会学B  社会学B,g0680,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,"小谷 俊博,杉谷 武信",
一般,選択,ドイツ語IIA  ドイツ語IIA,g0730,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,柴田 育子,
一般,選択,中国語IA  中国語IA,g0740,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,"武長 玄次郎,儲 暁菲,安 平,田 力",
一般,選択,ドイツ語IIB  ドイツ語IIB,g0750,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,柴田 育子,
一般,選択,中国語IB  中国語IB,g0760,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,"武長 玄次郎,儲 暁菲,安 平,田 力",
一般,選択,日本文化論  日本文化論,g0810,履修単位,1,,,,,,,,,,,,,集中講義,集中講義,集中講義,集中講義,,,,,"加藤 達彦,田嶋 彩香",
一般,必修,日本語IIA  日本語IIA,g0910,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,"田嶋 彩香,小高 愛",
一般,必修,日本語IIB  日本語IIB,g0920,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,"田嶋 彩香,小高 愛",
専門,必修,応用物理実験  応用物理実験,d0020,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,"嘉数 祐子,高谷 博史,福地 健一",
専門,必修,材料力学I  材料力学I,d0120,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,奥山 彫夢,
専門,必修,材料力学II  材料力学II,d0130,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,奥山 彫夢,
専門,必修,機械設計工学I  機械設計工学I,d0150,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,君塚 進,
専門,必修,電子回路I  電子回路I,d0250,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,泉 源,
専門,必修,電子回路II  電子回路II,d0260,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,泉 源,
専門,必修,情報処理I  情報処理I,d0300,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,大橋 太郎,
専門,必修,情報処理II  情報処理II,d0310,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,大橋 太郎,
専門,必修,制御工学I  制御工学I,d0350,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,岡本 峰基,
専門,必修,制御工学II  制御工学II,d0360,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,岡本 峰基,
専門,必修,工業英語演習  工業英語演習,d0410,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,坂元 周作,
専門,必修,実験実習V  実験実習V,d0480,履修単位,2,,,,,,,,,,,,,4,4,,,,,,,"泉 源,臼井 邦人,岡本 峰基,奥山 彫夢",
専門,必修,課題研究  課題研究,d0490,履修単位,2,,,,,,,,,,,,,,,4,4,,,,,泉 源,
専門,必修選択,応用数学A  応用数学A,d0520,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,関口 昌由,
専門,必修選択,応用数学B  応用数学B,d0530,学修単位,2,,,,,,,,,,,,,,,2,2,,,,,山下 哲,
専門,必修選択,応用数学C  応用数学C,d0540,学修単位,2,,,,,,,,,,,,,2,2,,,,,,,阿部 孝之,
専門,選択,電磁気学IV  電磁気学IV,d0560,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,坂元 周作,
専門,選択,電気回路IV  電気回路IV,d0570,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,坂元 周作,
専門,選択,電子工学III  電子工学III,d0600,履修単位,1,,,,,,,,,,,,,2,2,,,,,,,"岡本 峰基,鈴木 聡",
専門,選択,電子工学IV  電子工学IV,d0610,履修単位,1,,,,,,,,,,,,,,,2,2,,,,,"岡本 峰基,鈴木 聡",
専門,選択,学外実習  学外実習,d0660,履修単位,2,,,,,,,,,,,,,4,4,,,,,,,泉 源,
一般,必修,体育III  体育III,g0340,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,"坂田 洋満,篠村 朋樹,清野 哲也,田川 浩子",
一般,必修選択,英語演習II  英語演習II,g0610,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,"瀨川 直美,小川 祐輔",
一般,必修選択,英会話II  英会話II,g0620,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,"瀨川 直美,GRANT James,平元 嗣音,小川 祐輔",
一般,選択,国文学  国文学,g0700,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,加田 謙一郎,
一般,選択,心理学  心理学,g0710,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,小谷 俊博,
一般,選択,法学  法学,g0720,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,"小谷 俊博,佐々木 誠矢",
一般,選択,ドイツ語IIIA  ドイツ語IIIA,g0770,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,柴田 育子,
一般,選択,中国語IIA  中国語IIA,g0780,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,"武長 玄次郎,安 平,田 力",
一般,選択,ドイツ語IIIB  ドイツ語IIIB,g0790,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,柴田 育子,
一般,選択,中国語IIB  中国語IIB,g0800,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,"武長 玄次郎,安 平,田 力",
一般,選択,日本文化論  日本文化論,g0810,履修単位,1,,,,,,,,,,,,,,,,,集中講義,集中講義,集中講義,集中講義,"加藤 達彦,田嶋 彩香",
一般,必修(留学生）,日本語IIIA  日本語IIIA,g0930,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,"田嶋 彩香,小高 愛",
一般,必修(留学生）,日本語IIIB  日本語IIIB,g0940,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,"田嶋 彩香,小高 愛",
専門,必修,統計学  統計学,d0010,学修単位,2,,,,,,,,,,,,,,,,,2,2,,,平井 隼人,
専門,必修,材料力学III  材料力学III,d0140,学修単位,2,,,,,,,,,,,,,,,,,2,2,,,奥山 彫夢,
専門,必修,機械設計工学II  機械設計工学II,d0160,学修単位,2,,,,,,,,,,,,,,,,,2,2,,,君塚 進,
専門,必修,電子回路III  電子回路III,d0270,学修単位,2,,,,,,,,,,,,,,,,,2,2,,,臼井 邦人,
専門,必修,制御工学III  制御工学III,d0370,学修単位,2,,,,,,,,,,,,,,,,,2,2,,,大橋 太郎,
専門,必修,制御工学IV  制御工学IV,d0380,学修単位,2,,,,,,,,,,,,,,,,,,,2,2,大橋 太郎,
専門,必修,制御機器  制御機器,d0390,学修単位,2,,,,,,,,,,,,,,,,,,,2,2,関口 明生,
専門,必修,情報工学  情報工学,d0400,学修単位,2,,,,,,,,,,,,,,,,,,,2,2,臼井 邦人,
専門,必修,卒業研究  卒業研究,d0500,履修単位,8,,,,,,,,,,,,,,,,,8,8,8,8,関口 明生,
専門,選択,応用物理  応用物理,d0550,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,"高谷 博史,藤本 茂雄",
専門,選択,流体力学  流体力学,d0580,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,奥山 彫夢,
専門,選択,熱力学  熱力学,d0590,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,奥山 彫夢,
専門,選択,計算機制御工学  計算機制御工学,d0620,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,関口 明生,
専門,選択,ロボット工学I  ロボット工学I,d0630,履修単位,1,,,,,,,,,,,,,,,,,2,2,,,君塚 進,
専門,選択,ロボット工学II  ロボット工学II,d0640,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,君塚 進,
専門,選択,システム工学  システム工学,d0650,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,"岡本 峰基,栗山 幸久",
専門,選択,電子回路IV  電子回路IV,d0670,履修単位,1,,,,,,,,,,,,,,,,,,,2,2,臼井 邦人,
